Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
.hausformat GmbH,Aarau,https://www.swissmadesoftware.org/en/companies/-hausformat-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
08EINS AG,7000 Chur,https://softwarehaus.net/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
"1, 2, 3 Soleil SA",Bex,https://www.123-soleil.ch,Swissolar,1,Solar / energy,Route des Courtraits 30
1.618 Capital AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
1000 Sonnen-Dächer Swiss AG,Tägerwilen,https://www.1000-sonnen-daecher.ch,Swissolar,1,Solar / energy,Hauptstrasse 129
111united KLG - we dot,,https://www.swissmadesoftware.org/en/companies/111united-klg---we-dot/home.html,Swiss Made Software,1,Software,
1361 Solutions GmbH,Schänis,,swissICT,1,ICT / digital,
1741 Fund Solutions AG,St. Gallen,,FINMA,1,Regulated financial services,Fund management company; Representatives of foreign collective investment schemes (CISA)
1788 Capital S.A.,Genève,,FINMA,1,Regulated financial services,Portfolio manager
1875 Finance SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
1903 Capital SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
1L Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
1MED SA,Canton of Ticino,https://www.1med.ch/,Swiss Medtech,1,Medical technology,
1up AG,,https://www.swissmadesoftware.org/en/companies/1up-ag/home.html,Swiss Made Software,1,Software,
2 PM (Suisse) SA,Nyon,,FINMA,1,Regulated financial services,Portfolio manager
2C Advisors SARL,Genève,,FINMA,1,Regulated financial services,Portfolio manager
2communicate ag,Solothurn,https://www.2communicate.ch/,swisscleantech,1,Cleantech / energy,Kommunikation / Marketing / Werbung
2M Elektroplanung AG,Basel,https://2mgroup.ch,Swissolar,1,Solar / energy,Klybeckstrasse 141
2trade group ltd,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
2Weeks Group AG,,https://www.swissmadesoftware.org/en/companies/2weeks-group-ag/home.html,Swiss Made Software,1,Software,
2Xideas AG,Pfäffikon SZ,,FINMA,1,Regulated financial services,Manager of collective assets
3A Solar AG,Kreuzlingen,https://www.3a-solar.ch/,Swissolar,1,Solar / energy,Zelgstrasse 2
3D AG,,https://3dag.ch,Swissphotonics,1,Photonics / sensors / precision,
3D PRECISION SA,Delémont,https://www.3dprecision.ch,Swissmem,1,Industry / engineering,
3d-technology.ch SA,Sion,https://www.3d-technology.ch,Swissmem,1,Industry / engineering,
3E Elektro AG,Schlieren,https://3e-elektro.ch,Swissolar,1,Solar / energy,Grabenstrasse 1
3G elektroserv AG,Dübendorf,https://www.3g-elektroserv.ch,Swissolar,1,Solar / energy,Ringstr. 12
3HLE AUTOMATION & ROBOTIQUE SA,,https://www.swissmadesoftware.org/en/companies/3hle-automation---robotique-sa/home.html,Swiss Made Software,1,Software,
3M (Schweiz) GmbH,8803 Rüschlikon; Eggstrasse 91 8803 Rüschlikon,https://www.3mschweiz.ch,scienceindustries; Swico,2,ICT / consumer electronics; Pharma / biotech / chemistry,
3PLab GmbH,Zürich,https://3plab.ch/,swisscleantech,1,Cleantech / energy,
3S Swiss Solar Solutions AG,Bern; Gwatt/Thun,https://www.3s-solar.swiss,swisscleantech; Swissolar,2,Cleantech / energy; Solar / energy,Produktion / Industrie; Schorenstrasse 39
3T Biosciences Europe GmbH,,https://www.swissbiotech.org/listing/3t-biosciences-europe-gmbh/,Swiss Biotech Association,1,Biotech,
3T Family Office SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
3T Personal AG,4500 Solothurn,https://www.swissstaffing.ch/en/Members/index.php?id=38366,Swiss Staffing,1,Staffing / HR,
3V Asset Management AG,Schindellegi,,FINMA,1,Regulated financial services,Manager of collective assets
3Worlds AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
41medical,Canton of Solothurn,https://www.41medical.com/,Swiss Medtech,1,Medical technology,
42 Lausanne,,,digitalswitzerland,1,Digital economy,
42 Zürich,Renens VD,,swissICT,1,ICT / digital,
42Hacks,Appenzell Ausserrhoden,https://www.42hacks.com/,swisscleantech,1,Cleantech / energy,Mobilität / Transport / Logistik
42hacks mobility Genossenschaft,,http://www.42hacks.com,Swissrail,1,Rail / transport technology,
42talents GmbH,Zürich,https://www.swissmadesoftware.org/en/companies/42talents-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
42technology AG,Langenthal,https://www.42technology.ch,Swissmem,1,Industry / engineering,
47 Capital AG,Wollerau,,FINMA,1,Regulated financial services,Portfolio manager
47 Heritage AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
4Bases SA,,https://www.swissbiotech.org/listing/4bases-sa/,Swiss Biotech Association,1,Biotech,
4competence,Canton of Ticino,https://4competence.ch/,Swiss Medtech,1,Medical technology,
4D Montagen GmbH,Herzogenbuchsee,https://www.4dmontagen.ch,Swissolar,1,Solar / energy,Bernstrasse 7
4data AG,Zürich,,swissICT,1,ICT / digital,
4e CAPITAL AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
4e elektrotechnik ag,Chur,https://www.4-e.ch,Swissolar,1,Solar / energy,Ringstrasse 26
"4G Clinical B.V., Basel branch",,https://www.swissbiotech.org/listing/4g-clinical/,Swiss Biotech Association,1,Biotech,
4K-MEMS,,https://www.4kmems.ch,Swissphotonics,1,Photonics / sensors / precision,
4MEDX AG,Canton of Zurich,,Swiss Medtech,1,Medical technology,
4results AG,8808 Pfäffikon SZ,https://www.marketingautomation.tech/,Swico,1,ICT / consumer electronics,
5to9 AG,8808 Pfäffikon SZ,https://5to9.ch/,Swico,1,ICT / consumer electronics,
6C Tools AG,Dietlikon,https://www.6c-tools.ch,Swissmem,1,Industry / engineering,
720 AM SA,Châtelaine,,FINMA,1,Regulated financial services,Portfolio manager
7AlpsBio GmbH,,https://www.swissbiotech.org/listing/7alpsbio-gmbh/,Swiss Biotech Association,1,Biotech,
7s Medical AG,Canton of Lucerne,https://www.7smedical.com/,Swiss Medtech,1,Medical technology,
8 WEEKS GmbH,,https://www.swissmadesoftware.org/en/companies/8-weeks-gmbh/home.html,Swiss Made Software,1,Software,
89grad GmbH,,https://www.swissmadesoftware.org/en/companies/89grad-gmbh/home.html,Swiss Made Software,1,Software,
8photonics GmbH,,https://www.8photonics.com,Swissphotonics,1,Photonics / sensors / precision,
