rank,employer,proxy_score,selection_bucket,corporate_subtype,public_subtype,city_location,website,sources,source_count,it_relevance_score,scale_institutional_proxy,data_confidence_score,penalty,employer_group_key,selection_reason,caveats,review_status
1,Accenture AG,100,Corporate / institutional IT,General corporate,,8152 Glattbrugg; Canton of Zurich; Zürich,https://www.accenture.com/ch-e,digitalswitzerland; Swico; Swiss Medtech; swisscleantech; swissICT; Swissrail,6,100,100,100,0,accenture,"IT/digital directories: Swico, digitalswitzerland, swissICT; High-tech directories: Swiss Medtech, Swissrail, swisscleantech; Recognisable large-employer signal; Confirmed by 6 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
2,CSEM,100,Corporate / institutional IT,Pharma / life sciences,,Canton of Neuenburg; Neuchâtel,https://www.csem.ch/,digitalswitzerland; Swiss Biotech Association; Swiss Medtech; Swissolar; Swissphotonics,5,100,100,100,0,csem,"IT/digital directories: digitalswitzerland; High-tech directories: Swiss Biotech Association, Swiss Medtech, Swissolar, Swissphotonics; Recognisable large-employer signal; Confirmed by 5 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
3,Deloitte AG,100,Corporate / institutional IT,Finance / insurance,,8005 Zürich; 8022 Zurich; Canton of Zurich; Zürich,https://www.deloitte.com/ch/de.html,Swico; Swiss Banking; Swiss Biotech Association; Swiss Medtech; swisscleantech,5,100,100,100,0,deloitte,"IT/digital directories: Swico; Institutional signal: Swiss Banking; High-tech directories: Swiss Biotech Association, Swiss Medtech, swisscleantech; Recognisable large-employer signal; Confirmed by 5 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
4,Ecole polytechnique fédérale de Lausanne (EPFL),100,Corporate / institutional IT,Public / education / healthcare,Major higher education,Neuchâtel,https://www.epfl.ch/,Swissolar; swissuniversities,2,100,100,100,0,epfl,Institutional signal: swissuniversities; High-tech directories: Swissolar; Recognisable large-employer signal; Public/institutional IT-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
5,Switzerland Global Enterprise,100,Corporate / institutional IT,General corporate,,Canton of Zurich; Zürich,https://www.s-ge.com/,digitalswitzerland; Swiss Aerospace Cluster; Swiss Medtech; swissICT,4,100,100,100,0,switzerland global enterprise,"IT/digital directories: digitalswitzerland, swissICT; High-tech directories: Swiss Aerospace Cluster, Swiss Medtech; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
6,Thurgauer Kantonalbank,100,Corporate / institutional IT,Finance / insurance,,8570 Weinfelden; Thurgau; Weinfelden,http://www.tkb.ch/,FINMA; Swiss Banking; swisscleantech; swissICT,4,100,100,100,0,cantonal-bank:thurgauer kantonalbank,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; High-tech directories: swisscleantech; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
7,Zürcher Kantonalbank,100,Corporate / institutional IT,Finance / insurance,,8002 Zurich; Zürich,http://www.zkb.ch/,asut; FINMA; Swiss Banking; swissICT,4,100,100,100,0,cantonal-bank:zurcher kantonalbank,"IT/digital directories: asut, swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
8,Aargauische Kantonalbank,99.8,Corporate / institutional IT,Finance / insurance,,5001 Aarau; Aarau; Aarau 1,http://www.akb.ch/,FINMA; Swiss Banking; swissICT,3,100,100,99,0,cantonal-bank:aargauische kantonalbank,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
9,Basellandschaftliche Kantonalbank,99.8,Corporate / institutional IT,Finance / insurance,,4410 Liestal; Liestal,http://www.blkb.ch/,FINMA; Swiss Banking; swissICT,3,100,100,99,0,cantonal-bank:basellandschaftliche kantonalbank,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
10,Flughafen Zürich AG,99.8,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Zürich; Zürich-Flughafen,http://www.flughafen-zuerich.ch,asut; swisscleantech; swissICT,3,100,100,99,0,flughafen zurich,"IT/digital directories: asut, swissICT; High-tech directories: swisscleantech; Recognisable large-employer signal; Public/institutional IT-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
